model,disease,fold_id,uf,date,horizon_weeks,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,observed_value,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
naive,chikungunya,1,1716109,2022-10-09,16,12.65,14.0,15.0,16.0,16.0,16.0,17.0,19.69999999999999,24.349999999999966,2,12.761666666666667,1.728333333333333,11.033333333333333,0.0,14.0,False,False,False,False
naive,chikungunya,1,1716109,2022-10-16,17,12.625,14.0,15.0,16.0,16.0,16.0,17.0,19.0,24.0,1,13.746527777777779,1.8298611111111112,11.916666666666666,0.0,15.0,False,False,False,False
naive,chikungunya,1,1716109,2022-10-23,18,12.600000000000001,14.0,15.0,16.0,16.0,16.0,17.0,19.799999999999955,24.399999999999977,0,14.752222222222223,1.9522222222222214,12.8,0.0,16.0,False,False,False,False
naive,chikungunya,1,1716109,2022-10-30,19,12.575000000000001,14.0,15.0,16.0,16.0,16.0,17.0,19.849999999999966,24.42500000000001,0,14.747499999999999,1.9530555555555553,12.794444444444444,0.0,16.0,False,False,False,False
naive,chikungunya,1,1716109,2022-11-06,20,13.0,14.0,15.0,16.0,16.0,16.0,17.0,19.899999999999977,24.44999999999999,0,14.840277777777779,1.9513888888888884,12.88888888888889,0.0,16.0,False,False,False,False
naive,chikungunya,1,1716109,2022-11-13,21,12.525,14.0,15.0,16.0,16.0,16.0,17.0,19.94999999999999,24.0,0,14.735416666666667,1.9520833333333332,12.783333333333333,0.0,16.0,False,False,False,False
naive,chikungunya,1,1716109,2022-11-20,22,13.0,14.0,15.0,16.0,16.0,16.0,17.0,19.0,24.5,0,14.830555555555556,1.9416666666666664,12.88888888888889,0.0,16.0,False,False,False,False
naive,chikungunya,1,1716109,2022-11-27,23,13.0,14.0,15.0,16.0,16.0,16.0,17.0,20.049999999999955,24.524999999999977,8,6.842361111111111,1.0645833333333328,5.777777777777778,0.0,8.0,False,False,False,False
naive,chikungunya,1,1716109,2022-12-04,24,12.450000000000001,14.0,15.0,16.0,16.0,16.0,17.0,19.099999999999966,24.55000000000001,3,11.712777777777777,1.6127777777777774,10.100000000000001,0.0,13.0,False,False,False,False
naive,chikungunya,1,1716109,2022-12-11,25,12.425,14.850000000000001,15.0,16.0,16.0,16.0,17.0,20.0,24.0,18,1.0548611111111112,0.38819444444444445,0.0,0.6666666666666666,2.0,False,False,True,True
